step,epoch,split,cross_entropy,rollout_match_percent
0,0,validation_selection,1.661627575829036,23.15
0,0,train_diagnostic,1.6661496167688696,27.9296875
1,0.0036363636363636364,train_batch,1.7464452236890793,35.9375
2,0.007272727272727273,train_batch,1.560880571603775,17.1875
3,0.01090909090909091,train_batch,1.604891948401928,6.25
4,0.014545454545454545,train_batch,1.660991758108139,20.3125
5,0.01818181818181818,train_batch,1.865265168249607,20.3125
6,0.02181818181818182,train_batch,1.7915171161293983,4.6875
7,0.025454545454545455,train_batch,1.7043556235730648,23.4375
8,0.02909090909090909,train_batch,1.6430424784193747,43.75
9,0.03272727272727273,train_batch,1.3630241304636002,45.3125
10,0.03636363636363636,train_batch,1.6819231531117111,28.125
11,0.04,train_batch,1.5898192636668682,17.1875
12,0.04363636363636364,train_batch,1.6942450841888785,17.1875
13,0.04727272727272727,train_batch,1.6150398347526789,31.25
14,0.05090909090909091,train_batch,1.5504556074738503,43.75
15,0.05454545454545454,train_batch,1.8854050040245056,37.5
16,0.05818181818181818,train_batch,1.4408591873943806,42.1875
17,0.06181818181818182,train_batch,1.3984110578894615,26.5625
18,0.06545454545454546,train_batch,1.6934039816260338,17.1875
19,0.06909090909090909,train_batch,1.5721476301550865,21.875
20,0.07272727272727272,train_batch,1.574285751208663,21.875
21,0.07636363636363637,train_batch,1.8867949917912483,17.1875
22,0.08,train_batch,1.5804881751537323,31.25
23,0.08363636363636363,train_batch,1.6445722728967667,25.0
24,0.08727272727272728,train_batch,1.4924146942794323,25.0
25,0.09090909090909091,train_batch,1.9651166573166847,29.6875
26,0.09454545454545454,train_batch,1.4229486025869846,31.25
27,0.09818181818181818,train_batch,1.478881724178791,17.1875
28,0.10181818181818182,train_batch,1.594103991985321,20.3125
29,0.10545454545454545,train_batch,1.684918362647295,9.375
30,0.10909090909090909,train_batch,1.506902752444148,32.8125
31,0.11272727272727273,train_batch,1.5348112434148788,20.3125
32,0.11636363636363636,train_batch,1.6044725477695465,32.8125
33,0.12,train_batch,1.37595359608531,62.5
34,0.12363636363636364,train_batch,1.5546256601810455,34.375
35,0.12727272727272726,train_batch,1.5071075670421124,43.75
36,0.13090909090909092,train_batch,1.383252415806055,48.4375
37,0.13454545454545455,train_batch,1.5436000004410744,31.25
38,0.13818181818181818,train_batch,1.42306312546134,31.25
39,0.14181818181818182,train_batch,1.617462858557701,37.5
40,0.14545454545454545,train_batch,1.4414529129862785,32.8125
41,0.14909090909090908,train_batch,1.2753118611872196,48.4375
42,0.15272727272727274,train_batch,1.66910314373672,7.8125
43,0.15636363636363637,train_batch,1.4786924282088876,40.625
44,0.16,train_batch,1.7167908176779747,23.4375
45,0.16363636363636364,train_batch,1.5238372553139925,46.875
46,0.16727272727272727,train_batch,1.5290911942720413,29.6875
47,0.1709090909090909,train_batch,1.6050432845950127,25.0
48,0.17454545454545456,train_batch,1.6120961792767048,31.25
49,0.1781818181818182,train_batch,1.7107093967497349,54.6875
50,0.18181818181818182,train_batch,1.788566242903471,35.9375
51,0.18545454545454546,train_batch,1.5031507941894233,26.5625
52,0.1890909090909091,train_batch,1.466848723590374,56.25
53,0.19272727272727272,train_batch,1.436404474079609,37.5
54,0.19636363636363635,train_batch,1.382004827260971,53.125
55,0.2,train_batch,1.5964728742837906,35.9375
56,0.20363636363636364,train_batch,1.5992078930139542,34.375
57,0.20727272727272728,train_batch,1.494470365345478,45.3125
58,0.2109090909090909,train_batch,1.4422176536172628,37.5
59,0.21454545454545454,train_batch,1.3990131551399827,32.8125
60,0.21818181818181817,train_batch,1.6842670738697052,18.75
61,0.22181818181818183,train_batch,1.44749456923455,32.8125
62,0.22545454545454546,train_batch,1.3005402069538832,45.3125
63,0.2290909090909091,train_batch,1.5188677869737148,29.6875
64,0.23272727272727273,train_batch,1.5024157017469406,35.9375
65,0.23636363636363636,train_batch,1.5268145576119423,31.25
66,0.24,train_batch,1.809872705489397,25.0
67,0.24363636363636362,train_batch,1.4251095652580261,43.75
68,0.24727272727272728,train_batch,1.5439863074570894,25.0
69,0.2509090909090909,train_batch,1.400068759918213,42.1875
69,0.2509090909090909,validation_selection,1.5920271151057648,26.2375
70,0.2545454545454545,train_batch,2.1595469266176224,14.0625
71,0.2581818181818182,train_batch,1.3761502970010042,45.3125
72,0.26181818181818184,train_batch,1.2297227177768946,59.375
73,0.26545454545454544,train_batch,1.4220102652907372,37.5
74,0.2690909090909091,train_batch,1.7298044972121716,31.25
75,0.2727272727272727,train_batch,1.515625186264515,23.4375
76,0.27636363636363637,train_batch,1.5224253237247467,34.375
77,0.28,train_batch,1.8624394312500954,12.5
78,0.28363636363636363,train_batch,1.5676759742200375,15.625
79,0.2872727272727273,train_batch,1.5332299768924713,40.625
80,0.2909090909090909,train_batch,1.4865308552980423,23.4375
81,0.29454545454545455,train_batch,1.7266211658716202,12.5
82,0.29818181818181816,train_batch,1.5180000253021717,37.5
83,0.3018181818181818,train_batch,1.44120042771101,21.875
84,0.3054545454545455,train_batch,1.3784588719718158,32.8125
85,0.3090909090909091,train_batch,1.3957497291266918,34.375
86,0.31272727272727274,train_batch,1.7507941201329231,14.0625
87,0.31636363636363635,train_batch,1.3228218704462051,39.0625
88,0.32,train_batch,1.3000173009932041,56.25
89,0.3236363636363636,train_batch,1.405095960944891,46.875
90,0.32727272727272727,train_batch,1.3059847420081496,37.5
91,0.33090909090909093,train_batch,1.6017838269472122,21.875
92,0.33454545454545453,train_batch,1.4267827570438385,56.25
93,0.3381818181818182,train_batch,1.5843783728778362,20.3125
